station_code,year,departement_code,total_passengers_over_the_year,simple_assistance,ramp_assistance,wheelchair_assistance,ramp_and_wheelchair_assistance,total_assistance,clusters,cluster
87111849,2015,77,5443822,3677,2081,78,9357,15193,0,light pink
87113001,2015,75,34919689,3610,2946,161,11133,17850,3,dark purple
87116582,2015,02,1924022,29,5,0,149,183,0,light pink
87118000,2015,10,1001917,72,145,7,518,742,0,light pink
87118158,2015,10,306218,25,45,0,113,183,0,light pink
87141002,2015,54,7918088,3569,968,79,8651,13267,0,light pink
87141044,2015,54,232067,430,40,7,576,1053,0,light pink
87141150,2015,54,923786,87,28,3,255,373,0,light pink
87141291,2015,88,80707,13,23,0,189,225,0,light pink
87141820,2015,54,979424,280,5,2,367,654,0,light pink
87142000,2015,52,420282,103,104,6,552,765,0,light pink
87142109,2015,57,647339,699,654,48,2600,4001,0,light pink
87142125,2015,52,100673,38,114,4,471,627,0,light pink
87144006,2015,88,1143705,348,113,13,1371,1845,0,light pink
87144014,2015,88,405652,144,42,7,323,516,0,light pink
87144055,2015,88,288612,6,0,0,7,13,0,light pink
87144279,2015,88,66226,5,7,0,31,43,0,light pink
87144451,2015,88,266804,73,50,6,264,393,0,light pink
87147322,2015,55,202506,94,75,0,416,585,0,light pink
87171009,2015,51,3884021,750,408,29,3315,4502,0,light pink
87171330,2015,51,199571,2,0,0,3,5,0,light pink
87171553,2015,51,779960,36,31,13,1196,1276,0,light pink
87171926,2015,51,917725,618,649,42,2609,3918,0,light pink
87172007,2015,08,1156793,762,195,10,1439,2406,0,light pink
87172080,2015,08,230865,0,0,0,0,0,0,light pink
87172130,2015,08,102220,7,3,0,18,28,0,light pink
87172254,2015,08,327997,340,255,1,673,1269,0,light pink
87172270,2015,08,350544,900,39,0,966,1905,0,light pink
87174003,2015,51,840726,110,62,14,668,854,0,light pink
87174276,2015,51,242104,36,21,0,471,528,0,light pink
87175000,2015,52,230626,42,59,2,266,369,0,light pink
87175042,2015,55,414938,101,36,0,397,534,0,light pink
87175091,2015,52,68019,33,6,0,51,90,0,light pink
87175257,2015,55,168732,61,2,0,153,216,0,light pink
87175778,2015,55,137033,1,4,0,38,43,0,light pink
87182014,2015,68,3586247,832,315,13,2018,3178,0,light pink
87182063,2015,68,5017072,1712,632,26,4460,6830,0,light pink
